extraSmall.LargeTitle:NYTCheltenham-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-Semibold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTImperial-SemiboldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTKarnak-Black:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-BlackCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Bold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-BoldCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Light:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-LightCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Medium:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-MediumCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Semibold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-SemiboldCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Text:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-Thin:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-ThinCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-UltraLight:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnak-UltraLightCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTKarnakCondensed-Bold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.LargeTitle:NYTStock-Bold:17 -> (size: 16.000, ld: 1.200, lh: 16.000, lhr: 100%
extraSmall.LargeTitle:NYTStock-Regular:17 -> (size: 16.000, ld: 1.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-Book:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-BookItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-ExtraBold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-ExtraBoldItal:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-ExtraLight:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-ExtraLightItal:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-Light:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-LightItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-LightSC:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenham-MediumItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamCond-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamCond-BoldXC:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamCond-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamSH-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamSH-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamSH-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamSH-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamWide-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTCheltenhamWide-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTDDingbats-Pi:17 -> (size: 16.000, ld: 0.144, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-ExtraBold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-ExtraBoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-Light:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-LightItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-Medium:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-MediumItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-Semibold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTFranklin-SemiboldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-Bold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-BoldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-Italic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-Regular:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-Semibold:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTImperial-SemiboldItalic:17 -> (size: 16.000, ld: 3.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTKarnak-Black:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-BlackCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Bold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-BoldCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Light:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-LightCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Medium:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-MediumCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Semibold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-SemiboldCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Text:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-Thin:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-ThinCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-UltraLight:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnak-UltraLightCursive:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTKarnakCondensed-Bold:17 -> (size: 16.000, ld: 0.000, lh: 19.200, lhr: 120%
extraSmall.Title1:NYTStock-Bold:17 -> (size: 16.000, ld: 1.200, lh: 16.000, lhr: 100%
extraSmall.Title1:NYTStock-Regular:17 -> (size: 16.000, ld: 1.200, lh: 16.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-Book:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-BookItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-ExtraBold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-ExtraBoldItal:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-ExtraLight:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-ExtraLightItal:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-Light:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-LightItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-LightSC:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenham-MediumItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamCond-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamCond-BoldXC:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamCond-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamSH-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamSH-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamSH-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamSH-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamWide-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTCheltenhamWide-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTDDingbats-Pi:17 -> (size: 15.000, ld: 0.135, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-ExtraBold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-ExtraBoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-Light:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-LightItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-MediumItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-Semibold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTFranklin-SemiboldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-Semibold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTImperial-SemiboldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTKarnak-Black:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-BlackCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Bold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-BoldCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Light:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-LightCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Medium:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-MediumCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Semibold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-SemiboldCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Text:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-Thin:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-ThinCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-UltraLight:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnak-UltraLightCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTKarnakCondensed-Bold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title2:NYTStock-Bold:17 -> (size: 15.000, ld: 1.125, lh: 15.000, lhr: 100%
extraSmall.Title2:NYTStock-Regular:17 -> (size: 15.000, ld: 1.125, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-Book:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-BookItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-ExtraBold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-ExtraBoldItal:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-ExtraLight:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-ExtraLightItal:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-Light:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-LightItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-LightSC:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenham-MediumItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamCond-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamCond-BoldXC:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamCond-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamSH-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamSH-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamSH-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamSH-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamWide-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTCheltenhamWide-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTDDingbats-Pi:17 -> (size: 15.000, ld: 0.135, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-ExtraBold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-ExtraBoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-Light:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-LightItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-Medium:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-MediumItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-Semibold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTFranklin-SemiboldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-Bold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-BoldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-Italic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-Regular:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-Semibold:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTImperial-SemiboldItalic:17 -> (size: 15.000, ld: 3.000, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTKarnak-Black:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-BlackCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Bold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-BoldCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Light:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-LightCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Medium:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-MediumCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Semibold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-SemiboldCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Text:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-Thin:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-ThinCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-UltraLight:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnak-UltraLightCursive:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTKarnakCondensed-Bold:17 -> (size: 15.000, ld: 0.000, lh: 18.000, lhr: 120%
extraSmall.Title3:NYTStock-Bold:17 -> (size: 15.000, ld: 1.125, lh: 15.000, lhr: 100%
extraSmall.Title3:NYTStock-Regular:17 -> (size: 15.000, ld: 1.125, lh: 15.000, lhr: 100%
